Label,Inductance,Deviation,Volume,Losses,Core Type
4313,0.0006250642368878967,7.397890831422714,2.2483158260258385e-05,2.1644400302459044,PQ 35/35
4316,0.000555325565859482,17.729545798595268,2.0627460811361245e-05,2.380432361311135,PQ 32/20
4317,0.000555325565859482,17.729545798595268,2.0627460811361245e-05,2.380432361311135,PQ 32/20
4318,0.000555325565859482,17.729545798595268,2.0627460811361245e-05,2.380432361311135,PQ 32/20
4319,0.000555325565859482,17.729545798595268,2.0627460811361245e-05,2.380432361311135,PQ 32/20
4350,0.000658080683870872,2.5065653524634204,2.7506248397888617e-05,2.535050926290027,PQ 35/35
4364,0.0005821530089181904,13.755109789897727,2.7506248397888617e-05,2.331637827162854,PQ 35/35
4394,0.0005706762833464162,15.455365430160567,3.108037022658705e-05,2.55704838857962,PQ 35/35
4397,0.0006517908315305542,3.4383953288067857,2.7506248397888617e-05,2.5212011398352576,PQ 35/35
4406,0.0005484959199399392,18.741345194083088,2.2483158260258385e-05,1.9287991527684807,PQ 35/35
4412,0.0005888633401453768,12.760986645129362,2.0627460811361245e-05,2.494684086465128,PQ 32/20
4413,0.0005888633401453768,12.760986645129362,2.0627460811361245e-05,2.494684086465128,PQ 32/20
4414,0.0005888633401453768,12.760986645129362,2.0627460811361245e-05,2.494684086465128,PQ 32/20
4415,0.0005888633401453768,12.760986645129362,2.0627460811361245e-05,2.494684086465128,PQ 32/20
4465,0.0006452824214448819,4.402604230387876,2.7506248397888617e-05,2.504755486421455,PQ 35/35
4490,0.0005723543027436444,15.206769963904545,2.3350800864957557e-05,2.7523300519660694,PQ 32/20
4491,0.0005723543027436444,15.206769963904545,2.3350800864957557e-05,2.7523300519660694,PQ 32/20
4492,0.0005723543027436444,15.206769963904545,2.3350800864957557e-05,2.7523300519660694,PQ 32/20
4493,0.0005723543027436444,15.206769963904545,2.3350800864957557e-05,2.7523300519660694,PQ 32/20
4573,0.0006386471698899338,5.3856044607505495,2.7506248397888617e-05,2.4867001160438384,PQ 35/35
4574,0.0005944920176651096,11.927108494057846,3.108037022658705e-05,1.7499958350237552,PQ 35/35
4586,0.0005862539459885784,13.147563557247649,3.108037022658705e-05,1.7318205349634916,PQ 35/35
4595,0.0006028334824641437,10.691335931237973,3.108037022658705e-05,1.7684931855503359,PQ 35/35
4599,0.0006341305817552876,6.054728628846285,2.3350800864957557e-05,2.9677394838220046,PQ 32/20
4600,0.0006341305817552876,6.054728628846285,2.3350800864957557e-05,2.9677394838220046,PQ 32/20
4601,0.0006341305817552876,6.054728628846285,2.3350800864957557e-05,2.9677394838220046,PQ 32/20
4602,0.0006341305817552876,6.054728628846285,2.3350800864957557e-05,2.9677394838220046,PQ 32/20
4631,0.0005736508008962479,15.014696163518842,3.108037022658705e-05,1.708369507504373,PQ 35/35
4638,0.0005773928039304499,14.460325343637054,2.7506248397888617e-05,2.321285807191681,PQ 35/35
4644,0.0006188858024279399,8.313214455120026,2.2483158260258385e-05,2.1461064629637168,PQ 35/35
4659,0.0005781918112191889,14.341953893453507,3.108037022658705e-05,1.7143781694187217,PQ 35/35
4667,0.0006319404280337155,6.379195846856975,2.7506248397888617e-05,2.4686834913062454,PQ 35/35
4675,0.000627956310980116,6.969435410353182,2.3350800864957557e-05,2.944354560249271,PQ 32/20
4676,0.000627956310980116,6.969435410353182,2.3350800864957557e-05,2.944354560249271,PQ 32/20
4677,0.000627956310980116,6.969435410353182,2.3350800864957557e-05,2.944354560249271,PQ 32/20
4678,0.000627956310980116,6.969435410353182,2.3350800864957557e-05,2.944354560249271,PQ 32/20
4686,0.000565943679717715,16.156491893671856,3.108037022658705e-05,1.6962270785559328,PQ 35/35
4689,0.0005807530432653084,13.962512108843208,2.2483158260258385e-05,2.028448365058761,PQ 35/35
4694,0.0006255919098171224,7.319717064130026,2.0627460811361245e-05,2.6602664273015826,PQ 32/20
4695,0.0006255919098171224,7.319717064130026,2.0627460811361245e-05,2.6602664273015826,PQ 32/20
4696,0.0006255919098171224,7.319717064130026,2.0627460811361245e-05,2.6602664273015826,PQ 32/20
4697,0.0006255919098171224,7.319717064130026,2.0627460811361245e-05,2.6602664273015826,PQ 32/20
